N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
118,제일기획,"23,650",150,-0.63%,200,"27,207","115,041",33.09,"422,692",17.29,16.11,
119,현대차우,"110,500",500,-0.45%,"5,000","26,914","24,357",58.64,"68,874",21.49,N/A,
120,두산퓨얼셀,"40,900",250,+0.62%,100,"26,787","65,494",13.06,"856,747",211.92,4.18,
121,포스코인터내셔널,"21,400",300,-1.38%,"5,000","26,402","123,375",12.44,"694,711",10.21,7.69,
122,DL이앤씨,"135,500","2,500",-1.81%,"5,000","26,231","19,359",26.44,"215,820",N/A,N/A,
123,더존비즈온,"85,400","2,500",+3.02%,500,"25,911","30,341",42.05,"367,687",47.29,15.09,
124,KODEX 단기채권,"102,865",5,0.00%,0,"25,686","24,971",0.00,"20,548",N/A,N/A,
125,한샘,"109,000",0,0.00%,"1,000","25,652","23,534",23.79,"43,343",39.42,10.83,
126,하이트진로,"36,100",350,-0.96%,"5,000","25,318","70,134",7.00,"345,246",31.23,8.23,
127,BNK금융지주,"7,720",240,-3.02%,"5,000","25,162","325,935",38.81,"2,991,591",4.85,6.11,
128,DB하이텍,"54,100","1,600",+3.05%,"5,000","24,020","44,399",14.43,"1,474,094",14.50,23.07,
129,두산인프라코어,"10,600",0,0.00%,"5,000","23,879","225,278",9.43,"1,440,559",10.09,6.47,
130,메리츠금융지주,"17,700",450,+2.61%,500,"23,720","134,011",7.88,"389,632",4.93,16.06,
131,한화,"30,800",0,0.00%,"5,000","23,087","74,959",19.44,"483,088",7.89,4.79,
132,동국제강,"24,000",0,0.00%,"5,000","22,904","95,433",23.24,"2,806,211",35.19,3.35,
133,현대로템,"20,800",100,+0.48%,"5,000","22,702","109,142",5.31,"4,212,335",64.00,2.84,
134,LS,"69,400","2,400",-3.34%,"5,000","22,347","32,200",14.54,"298,396",17.62,3.94,
135,현대위아,"81,500","4,800",+6.26%,"5,000","22,164","27,195",7.20,"965,973",36.35,1.96,
136,TIGER 200,"42,275",5,-0.01%,0,"21,962","51,950",0.00,"477,251",N/A,N/A,
137,대웅,"37,600",700,+1.90%,500,"21,861","58,142",4.75,"715,787",22.22,15.10,
138,한화에어로스페이스,"42,700",150,+0.35%,"5,000","21,619","50,630",19.93,"484,319",9.68,4.78,
139,효성,"100,500","1,500",-1.47%,"5,000","21,176","21,071",10.01,"84,938",-40.14,-2.26,
140,현대해상,"23,600",450,-1.87%,500,"21,098","89,400",35.14,"655,464",6.36,7.13,
141,메리츠화재,"17,250",300,-1.71%,500,"20,808","120,625",11.22,"534,867",4.59,16.91,
142,현대백화점,"88,800","1,700",-1.88%,"5,000","20,781","23,402",19.30,"169,622",29.55,1.65,
143,현대엘리베이,"50,900",900,-1.74%,"5,000","20,775","40,815",29.38,"536,330",21.49,9.78,
144,KODEX 200선물인버스2X,"2,015",0,0.00%,0,"20,769","1,030,700",3.15,"343,081,574",N/A,N/A,
145,영원무역,"46,250","2,900",-5.90%,500,"20,494","44,311",26.08,"293,760",13.88,8.03,
146,오뚜기,"549,000","6,000",-1.08%,"5,000","20,159","3,672",15.40,"5,793",18.74,7.93,
147,아이에스동서,"63,700",500,+0.79%,500,"19,679","30,893",5.49,"69,983",15.84,10.92,
148,KODEX 삼성그룹,"9,950",10,+0.10%,0,"19,582","196,800",0.02,"189,624",N/A,N/A,
149,KG동부제철,"19,400",900,-4.43%,"5,000","19,402","100,009",0.16,"1,020,278",29.04,7.18,
150,한화시스템,"17,350",450,+2.66%,"5,000","19,125","110,230",2.19,"631,367",19.85,9.35,
151,KODEX 단기채권PLUS,"103,175",0,0.00%,0,"19,008","18,423",0.00,"7,897",N/A,N/A,
152,한전기술,"49,500","2,900",-5.53%,200,"18,919","38,220",2.41,"4,380,477",113.01,N/A,
153,대웅제약,"162,000","4,500",+2.86%,"2,500","18,770","11,587",6.05,"270,358",-170.17,2.38,
154,한국앤컴퍼니,"19,600",200,-1.01%,500,"18,607","94,935",9.80,"409,523",10.76,5.08,
155,HDC현대산업개발,"28,050",250,-0.88%,"5,000","18,487","65,907",10.81,"365,523",7.80,8.85,
156,한전KPS,"40,500","1,600",-3.80%,200,"18,225","45,000",9.90,"1,194,685",20.93,8.23,
